Data Filename,Flags,Sample Name,Sample ID,8_0 : Area,9_0 : Area,10_0 : Area,11_0 : Area,11_1 : Area,12_0 : Area,13_0 : Area,13_1 : Area,14_0 : Area,14_1 : Area,i-15_0 : Area,a-15_0 : Area,15_0 : Area,16_0 : Area,16_1w7c : Area,16_1w? : Area,i-17_0 : Area,a-17_0 : Area,16_2w? : Area,17_0 : Area,17_1w? : Area,17_1w9c : Area,i-18_0 : Area,a-18_0 : Area,18_0 : Area,18_1w9c : Area,18_1w7c : Area,18_2w6c : Area,18_3w6 : Area,19_0 : Area,18_3w3 : Area,18_4w3?  : Area,20_0 : Area,20_1w? : Area,20_1w9 : Area,20_1w? : Area,20_2w? : Area,20_2w?? : Area,20_2w6 : Area,20_3w6 : Area,20_4w6 : Area,20_3w3 : Area,20_5w3 : Area,22_0 : Area,22_1w9c : Area,22_2w? : Area,22_2w?? : Area,22_2w6 : Area,22_2? : Area,22_2w? : Area,23_0 : Area,22_3w6 : Area,22_4w6 : Area,22_5w6 : Area,22_5w3 : Area,22_6w3 : Area,24_0 : Area,24_1w9 : Area
STD1_15NG_20210716_RMY_3272024_2,,std1,15ng_20210716_RMY,59690,62317,124260,182659,21708,243496,57865,42058,227968,21299,,,155474,249962,17473,,,,,92493,,17785,,,138868,84572,39183,74789,48166,90983,18558,,169200,,16640,,,,50593,28251,77117,16915,46935,35813,66241,,,30889,,,102964,58620,44755,10985,28260,77924,30255,45410
STD2_50NG_20210716_RMY_3272024_3,,std2,50ng_20210716_RMY,197032,213033,410732,603575,73265,796487,190499,140846,757795,72272,,,530434,869479,58811,,,,,321257,,62093,,,467095,304037,138222,276900,172750,312278,70034,,592243,,60166,,,,194979,104817,300583,67545,186090,133703,254848,,,120599,,,384416,229582,183263,46337,120106,317116,118001,184291
STD3_100NG_20210716_RMY_3272024_4,,std3,100ng_20210716_RMY,394075,432915,851543,1258585,157329,1692981,415204,308567,1646469,159424,,,1169967,1895680,132762,,,,,739152,,138431,,,1093286,660256,305076,605326,386870,745306,162744,,1398878,,133482,,,,439067,243196,667800,156398,415480,308799,551757,,,268437,,,861355,514215,403154,120250,271218,696752,274894,401748
STD4_250NG_20210716_RMY_3272024_5,,std4,250ng_20210716_RMY,1041447,1130667,2092255,2925536,381224,3760785,977404,722930,3730759,373158,,,2683632,4448913,313359,,,,,1761999,,333810,,,2679667,1515257,718218,1445368,893156,1894197,407689,,3633135,,322252,,,,1054419,589486,1579458,384353,1023467,780884,1157127,,,598603,,,2258675,1144006,802259,365580,628859,1549486,777820,945539
202403_gcbatch1_1_3272024_7,,202403_gcbatch1,1,,,,975,,10720,6326,,655574,,333755,125349,250964,6814923,275285,200333,1083830,493003,148606,595634,410476,4394,200248,196324,2081877,182310,386007,113500,14619,11763040,132165,2878724,43638,4136117,63182,9338996,819941,426548,57035,19358,464482,,2495499,16914,11521,2216315,11408288,,1138988,568072,6220,64077,126700,126700,242164,2368211,38924,
202403_gcbatch1_2_3272024_8,,202403_gcbatch1,2,,,,5638,,6705,9364,,966099,,670202,129633,374293,11127084,462492,324119,1783754,1010026,360038,1063343,714923,5901,281729,293238,3065746,264437,612515,179248,25738,12476321,198881,4578239,55111,6536844,84469,15432584,642009,662500,53792,29759,806013,,4105543,17382,15642,2628249,16776091,,1703238,867036,7985,112222,235690,235690,456138,3671681,58793,
202403_gcbatch1_3_3272024_9,,202403_gcbatch1,3,,,,2379,,18162,7092,,1013594,,505032,90182,251882,7719410,435451,258412,1374821,622503,339288,745421,618287,4634,238752,318184,2390104,246885,590363,156105,22627,12875779,185015,4030938,44627,4774328,63726,10924317,827163,471196,37331,24074,510937,,3177916,12926,12469,2509227,12228031,,1438213,624952,3474,65952,138119,138119,280422,2576092,35072,
202403_gcbatch1_4_3272024_10,,202403_gcbatch1,4,,,,4295,,13573,7241,,750585,,600629,86903,203500,5474924,296085,172919,965501,450344,307035,527961,504494,3468,185097,229148,1668016,166144,410768,104268,15832,12592981,113974,2861757,34075,3258859,41173,7728830,553595,344276,24261,15605,391760,,2195750,10644,7523,1580007,9676311,,907539,452505,4293,55966,108066,108066,206325,1920387,26134,
202403_gcbatch1_5_3272024_11,,202403_gcbatch1,5,,,,4431,,11229,7552,,907080,,426672,118678,288281,7768913,395426,221725,1465536,706118,336710,821754,698678,4781,290139,364249,2689502,240260,548316,153818,21062,12894577,179225,3923550,45732,4750585,67569,11416029,800539,489939,26960,23972,580099,,2959485,14992,11016,2136002,12094416,,1308919,596578,4947,77907,178280,178280,266621,2736917,40252,
202403_gcbatch1_6_3272024_12,,202403_gcbatch1,6,,,,3540,,7476,5781,,665773,,600862,90260,254634,8057872,294842,197927,1362904,690270,167808,800846,432543,3581,243923,221875,2793728,177253,419555,127655,16761,12536885,142231,2940996,44564,4473353,62864,10587410,757222,527384,24638,20885,525916,,2800449,12608,10221,2290007,12911796,,1280271,690227,4577,77505,162572,162572,317086,2758544,34983,
202403_gcbatch1_7_3272024_13,,202403_gcbatch1,7,,,,3016,,6439,5856,,502797,,349022,90003,241588,5895817,218141,160140,1182546,506657,162748,604792,407698,3923,248197,200027,2019544,164915,371743,105724,14425,12387581,123329,2607682,36035,3851991,57306,8754059,753553,406957,18374,14842,487064,,2153238,11350,9997,2313619,10748489,,993805,551402,4290,71123,149926,149926,215511,2457911,28591,
202403_gcbatch1_8_3272024_14,,202403_gcbatch1,8,,,,4463,,25675,12059,,1419334,,572329,148462,369726,10216917,614960,334695,1982895,892663,558245,1015596,909821,5757,278933,522845,3580885,347123,791397,221524,31343,12771515,268804,5845767,63429,6536573,95246,15153670,1354332,644422,35864,33586,751515,,4124133,19696,15059,2770558,15347892,,1744629,800629,6573,90360,200379,200379,365607,3316439,51186,
202403_gcbatch1_9_3272024_15,,202403_gcbatch1,9,,,,4909,,16961,12147,,1709690,,756895,208959,517555,13591502,738348,463202,2705612,1171445,645471,1417737,1099508,3696,412870,637181,4468675,456620,922707,279044,38322,12610326,316488,6667806,64749,8131046,117854,20004702,1362880,787913,43133,42577,1013953,,4966331,20982,18327,3913119,22093069,,2179888,1142369,8824,159698,292819,292819,569785,4556585,67061,
202403_gcbatch1_10_3272024_16,,202403_gcbatch1,10,,,,5056,,19127,12086,,1654976,,570446,162927,416419,10814575,667241,383507,1945732,918820,567532,1018999,868884,7472,262057,441498,3285760,332451,876902,217291,31203,13030090,276038,5504067,61820,7618640,96260,16129887,1819744,740711,34762,35115,759670,,4546090,20301,17922,3169432,15713792,,1903544,787132,7123,72962,183748,183748,350299,3299365,53664,
202403_gcbatch1_11_3272024_18,,202403_gcbatch1,11,,,,,,2778,,,5470,,,,,149921,,,,,,2468,,,,,96467,,,,,11900704,,,6309,,,,,,,,,,,646,,,,,,,,,,,,,,
202403_gcbatch1_12_3272024_19,,202403_gcbatch1,12,,,,4484,,29078,19034,,3011885,,1178349,299909,886009,22457714,735656,531022,4012806,1902384,471206,2166454,982337,19095,905704,771619,6610080,540854,931100,221015,29743,11877895,236584,4547718,115124,13324847,257830,18688038,1929027,880809,31342,46587,786760,,4039034,67226,22602,3858125,17129783,,1682569,814764,19710,94644,244408,244408,388739,3261182,197297,
202403_gcbatch1_13_3272024_20,,202403_gcbatch1,13,,,,3149,,10099,7037,,969076,,513106,122181,328403,9752460,431044,282265,1809129,803662,355854,1043277,714135,6380,317612,381383,3452921,280965,648117,180247,25117,13765612,202189,4972549,55594,6364897,78742,13821992,817575,616783,39060,28573,706784,,3790777,15654,11082,2535350,14268256,,1689723,736877,4087,92600,199772,199772,392058,3331546,47529,
202403_gcbatch1_14_3272024_21,,202403_gcbatch1,14,,,,1119,,6875,4372,,534823,,332340,87519,197584,5323214,234010,155120,924416,473701,186484,468603,362748,3320,165193,158430,1441328,139905,320183,90241,12021,12801331,102507,2543729,32914,3353113,41725,6479394,453326,375241,26983,16704,347788,,1919042,11550,8257,1301613,8086796,,862496,488896,3569,56822,100955,100955,210061,1834220,23173,
202403_gcbatch1_15_3272024_22,,202403_gcbatch1,15,,,,6676,,25597,16610,,2285091,,909659,212633,648487,16828184,1024074,563736,3272063,1433143,938640,1720634,1642576,10783,565444,839979,5563925,578894,1364744,381727,56112,12681242,414081,9288579,84897,10329339,126659,25451057,2274134,934318,56286,57126,1227996,,6216670,34396,32066,4470153,29262255,,3237280,1334580,11786,169015,376440,376440,642028,5583926,93132,
202403_gcbatch1_16_3272024_23,,202403_gcbatch1,16,,,,16681,,65358,36624,,4616149,,1799274,452945,1227035,24957786,2076137,1144600,4969830,2349749,1850027,2394051,3222373,5361,785071,1485159,7021122,971844,2095264,587903,97254,11533307,671710,15553450,120805,14619232,178392,32413318,4275033,1483198,78760,88598,1705977,,8980393,62083,28778,6031512,37360584,,4539823,1925392,21353,229544,541873,541873,910388,7215458,147267,
202403_gcbatch1_17_3272024_24,,202403_gcbatch1,17,,,,5184,,16731,12979,,1683413,,768148,207196,526588,13995383,787758,461386,2518060,1165161,604603,1423925,1194662,9232,453816,570121,4687194,404222,957505,268197,40672,12270207,276883,6764955,72724,9171415,119449,20601947,1368180,869901,44313,42868,1107208,,5284359,24875,22683,3899249,20866572,,2484805,1041782,8946,164582,323168,323168,578769,4766239,70725,
202403_gcbatch1_18_3272024_25,,202403_gcbatch1,18,,,,1363,,7324,3106,,265714,,198807,60549,113994,3099919,117474,84199,563849,268395,154422,307028,221281,2403,118598,120432,1137365,85454,177313,60398,8022,12733253,63115,1677622,26071,1858849,27336,4007468,344576,202964,19233,9164,244058,,1029401,7711,7422,1106493,5543579,,532571,315829,2163,43942,75950,75950,122476,1194421,18842,
202403_gcbatch1_19_3272024_26,,202403_gcbatch1,19,,,,6048,,12842,11138,,1348084,,709177,167064,471855,12155939,613347,373357,2409135,1456499,493884,1327974,986330,6775,472497,441576,4131474,340930,824238,231489,35167,12982314,244691,6238455,71580,8761491,114920,19677986,1282112,899142,44899,42989,1049626,,4888032,24120,19313,4062557,21053170,,2178994,1169172,8888,156652,305434,305434,491762,4392838,68123,
202403_gcbatch1_20_3272024_27,,202403_gcbatch1,20,,,,1981,,12679,7961,,1109445,,457236,119814,308912,8047646,491333,298496,1446242,722864,430828,767270,778083,4804,261530,426414,2625885,253547,584606,162124,25629,13350493,196897,4982760,64880,5294022,71646,12275477,1005330,445359,36726,28457,590479,,3315970,18148,15214,2423532,13348253,,1517250,560774,5098,68509,168234,168234,272487,2766675,47434,
202403_gcbatch1_21_3272024_28,,202403_gcbatch1,21,,,,1771,,5428,3525,,387667,,233886,73370,141864,4336563,170813,129953,689432,361938,162437,444070,287460,3225,142368,139235,1600362,92853,265816,76927,11055,12805793,90348,2242370,30324,2845373,33896,6372346,477519,310086,22963,12433,331361,,1736532,10446,7834,1650939,9735476,,953783,442621,3354,45357,96301,96301,209162,1746219,25080,
202403_gcbatch1_22_3272024_29,,202403_gcbatch1,22,,,,,,1630,,,5249,,,,,98754,,,,,,2481,,,,,60603,,,,,12203855,,,6854,,,,,,,,,,,,,,,,,,,,,,,,,
